"ProductID","ProductDesc","ProductNumber","MakeFlag","Color","SafetyStockLevel","ReorderPoint","StandardCost","ListPrice","Size","SizeUnitMeasureCode","Weight","WeightUnitMeasureCode","ProductCategoryName","ProductSubCategoryName"
"680","HL Road Frame - Black, 58","FR-R92B-58","True","Black","500","375","1059.31","1431.5","58","CM ","2.24","LB ","","Road Frames"
"706","HL Road Frame - Red, 58","FR-R92R-58","True","Red","500","375","1059.31","1431.5","58","CM ","2.24","LB ","","Road Frames"
"707","Sport-100 Helmet, Red","HL-U509-R","False","Red","4","3","13.0863","34.99","","","","","","Helmets"
"708","Sport-100 Helmet, Black","HL-U509","False","Black","4","3","13.0863","34.99","","","","","","Helmets"
"709","Mountain Bike Socks, M","SO-B909-M","False","White","4","3","3.3963","9.5","M","","","","","Socks"
"710","Mountain Bike Socks, L","SO-B909-L","False","White","4","3","3.3963","9.5","L","","","","","Socks"
"711","Sport-100 Helmet, Blue","HL-U509-B","False","Blue","4","3","13.0863","34.99","","","","","","Helmets"
"712","AWC Logo Cap","CA-1098","False","Multi","4","3","6.9223","8.99","","","","","","Caps"
"713","Long-Sleeve Logo Jersey, S","LJ-0192-S","False","Multi","4","3","38.4923","49.99","S","","","","","Jerseys"
"714","Long-Sleeve Logo Jersey, M","LJ-0192-M","False","Multi","4","3","38.4923","49.99","M","","","","","Jerseys"
"715","Long-Sleeve Logo Jersey, L","LJ-0192-L","False","Multi","4","3","38.4923","49.99","L","","","","","Jerseys"
"716","Long-Sleeve Logo Jersey, XL","LJ-0192-X","False","Multi","4","3","38.4923","49.99","XL","","","","","Jerseys"
"717","HL Road Frame - Red, 62","FR-R92R-62","True","Red","500","375","868.6342","1431.5","62","CM ","2.30","LB ","","Road Frames"
"718","HL Road Frame - Red, 44","FR-R92R-44","True","Red","500","375","868.6342","1431.5","44","CM ","2.12","LB ","","Road Frames"
"719","HL Road Frame - Red, 48","FR-R92R-48","True","Red","500","375","868.6342","1431.5","48","CM ","2.16","LB ","","Road Frames"
"720","HL Road Frame - Red, 52","FR-R92R-52","True","Red","500","375","868.6342","1431.5","52","CM ","2.20","LB ","","Road Frames"
"721","HL Road Frame - Red, 56","FR-R92R-56","True","Red","500","375","868.6342","1431.5","56","CM ","2.24","LB ","","Road Frames"
"722","LL Road Frame - Black, 58","FR-R38B-58","True","Black","500","375","204.6251","337.22","58","CM ","2.46","LB ","","Road Frames"
"723","LL Road Frame - Black, 60","FR-R38B-60","True","Black","500","375","204.6251","337.22","60","CM ","2.48","LB ","","Road Frames"
"724","LL Road Frame - Black, 62","FR-R38B-62","True","Black","500","375","204.6251","337.22","62","CM ","2.50","LB ","","Road Frames"
"725","LL Road Frame - Red, 44","FR-R38R-44","True","Red","500","375","187.1571","337.22","44","CM ","2.32","LB ","","Road Frames"
"726","LL Road Frame - Red, 48","FR-R38R-48","True","Red","500","375","187.1571","337.22","48","CM ","2.36","LB ","","Road Frames"
"727","LL Road Frame - Red, 52","FR-R38R-52","True","Red","500","375","187.1571","337.22","52","CM ","2.40","LB ","","Road Frames"
"728","LL Road Frame - Red, 58","FR-R38R-58","True","Red","500","375","187.1571","337.22","58","CM ","2.46","LB ","","Road Frames"
"729","LL Road Frame - Red, 60","FR-R38R-60","True","Red","500","375","187.1571","337.22","60","CM ","2.48","LB ","","Road Frames"
"730","LL Road Frame - Red, 62","FR-R38R-62","True","Red","500","375","187.1571","337.22","62","CM ","2.50","LB ","","Road Frames"
"731","ML Road Frame - Red, 44","FR-R72R-44","True","Red","500","375","352.1394","594.83","44","CM ","2.22","LB ","","Road Frames"
"732","ML Road Frame - Red, 48","FR-R72R-48","True","Red","500","375","352.1394","594.83","48","CM ","2.26","LB ","","Road Frames"
"733","ML Road Frame - Red, 52","FR-R72R-52","True","Red","500","375","352.1394","594.83","52","CM ","2.30","LB ","","Road Frames"
