"SalesOrderID","OrderDate","ShipDate","OnlineOrderFlag","AccountNumber","CustomerID","SalesPersonID","Freight"
"43828","2021-06","2021-07-05","True","10-4030-027605","27605","","89.4568"
"43829","2021-06","2021-07-05","True","10-4030-027611","27611","","89.4568"
"43830","2021-06","2021-07-05","True","10-4030-016347","16347","","89.4568"
"43831","2021-06","2021-07-05","True","10-4030-011028","11028","","84.3748"
"43832","2021-06","2021-07-05","True","10-4030-013584","13584","","89.4568"
"43659","2021-05-31","2021-06-07","False","10-4020-000676","29825","279","616.0984"
"43660","2021-05-31","2021-06-07","False","10-4020-000117","29672","279","38.8276"
"43661","2021-05-31","2021-06-07","False","10-4020-000442","29734","282","985.553"
"43662","2021-05-31","2021-06-07","False","10-4020-000227","29994","282","867.2389"
"43663","2021-05-31","2021-06-07","False","10-4020-000510","29565","276","12.5838"
"43664","2021-05-31","2021-06-07","False","10-4020-000397","29898","280","732.81"
"43665","2021-05-31","2021-06-07","False","10-4020-000146","29580","283","429.9821"
"43666","2021-05-31","2021-06-07","False","10-4020-000511","30052","276","151.9921"
"43667","2021-05-31","2021-06-07","False","10-4020-000646","29974","277","183.1626"
"43668","2021-05-31","2021-06-07","False","10-4020-000514","29614","282","1081.8017"
"43669","2021-05-31","2021-06-07","False","10-4020-000578","29747","283","22.0367"
"43670","2021-05-31","2021-06-07","False","10-4020-000504","29566","275","183.6126"
"43671","2021-05-31","2021-06-07","False","10-4020-000200","29890","283","244.0042"
"43672","2021-05-31","2021-06-07","False","10-4020-000119","30067","282","183.6257"
"43673","2021-05-31","2021-06-07","False","10-4020-000618","29844","275","111.8629"
"43674","2021-05-31","2021-06-07","False","10-4020-000083","29596","282","78.7315"
"43675","2021-05-31","2021-06-07","False","10-4020-000670","29827","277","170.8987"
"43676","2021-05-31","2021-06-07","False","10-4020-000017","29811","275","426.0206"
"43677","2021-05-31","2021-06-07","False","10-4020-000679","29824","278","233.4691"
"43678","2021-05-31","2021-06-07","False","10-4020-000203","29889","281","294.3981"
"43679","2021-05-31","2021-06-07","False","10-4020-000480","29761","278","39.3135"
"43680","2021-05-31","2021-06-07","False","10-4020-000491","29489","281","341.7623"
"43681","2021-05-31","2021-06-07","False","10-4020-000423","29661","279","413.4584"
"43682","2021-05-31","2021-06-07","False","10-4020-000486","29759","275","116.1876"
"43683","2021-05-31","2021-06-07","False","10-4020-000506","29497","283","1283.484"
"43684","2021-05-31","2021-06-07","False","10-4020-000549","29912","279","167.8941"
"43685","2021-05-31","2021-06-07","False","10-4020-000458","30084","279","82.2503"
"43686","2021-05-31","2021-06-07","False","10-4020-000344","29606","283","103.899"
"43687","2021-05-31","2021-06-07","False","10-4020-000269","29610","275","37.7513"
"43688","2021-05-31","2021-06-07","False","10-4020-000161","29718","275","382.1512"
"43689","2021-05-31","2021-06-07","False","10-4020-000166","29646","277","1022.3419"
"43690","2021-05-31","2021-06-07","False","10-4020-000431","29533","275","38.8133"
"43691","2021-05-31","2021-06-07","False","10-4020-000292","29570","277","26.2438"
"43692","2021-05-31","2021-06-07","False","10-4020-000221","29992","281","1155.1244"
"43693","2021-05-31","2021-06-07","False","10-4020-000485","29491","275","615.4864"
"43694","2021-05-31","2021-06-07","False","10-4020-000315","29549","279","618.2268"
"43695","2021-05-31","2021-06-07","False","10-4020-000027","29958","279","1183.5823"
"43696","2021-05-31","2021-06-07","False","10-4020-000603","29849","279","12.5838"
"43697","2021-05-31","2021-06-07","True","10-4030-021768","21768","","89.4568"
"43698","2021-05-31","2021-06-07","True","10-4030-028389","28389","","84.9998"
"43699","2021-05-31","2021-06-07","True","10-4030-025863","25863","","84.9998"
"43700","2021-05-31","2021-06-07","True","10-4030-014501","14501","","17.4775"
"43701","2021-05-31","2021-06-07","True","10-4030-011003","11003","","84.9998"
"43702","2021-06-01","2021-06-08","True","10-4030-027645","27645","","89.4568"
"43703","2021-06-01","2021-06-08","True","10-4030-016624","16624","","89.4568"
"43704","2021-06-01","2021-06-08","True","10-4030-011005","11005","","84.3748"
"43705","2021-06-01","2021-06-08","True","10-4030-011011","11011","","84.9998"
"43706","2021-06-02","2021-06-09","True","10-4030-027621","27621","","89.4568"
"43707","2021-06-02","2021-06-09","True","10-4030-027616","27616","","89.4568"
"43708","2021-06-02","2021-06-09","True","10-4030-020042","20042","","17.4775"
"43709","2021-06-02","2021-06-09","True","10-4030-016351","16351","","89.4568"
"43710","2021-06-02","2021-06-09","True","10-4030-016517","16517","","89.4568"
"43711","2021-06-03","2021-06-10","True","10-4030-027606","27606","","89.4568"
"43712","2021-06-03","2021-06-10","True","10-4030-013513","13513","","89.4568"
"43713","2021-06-04","2021-06-11","True","10-4030-027601","27601","","89.4568"
"43714","2021-06-04","2021-06-11","True","10-4030-013591","13591","","89.4568"
"43715","2021-06-04","2021-06-11","True","10-4030-016483","16483","","89.4568"
"43716","2021-06-04","2021-06-11","True","10-4030-016529","16529","","89.4568"
"43717","2021-06-04","2021-06-11","True","10-4030-025249","25249","","17.4775"
"43718","2021-06-05","2021-06-12","True","10-4030-027668","27668","","89.4568"
"43719","2021-06-05","2021-06-12","True","10-4030-027612","27612","","89.4568"
"43720","2021-06-05","2021-06-12","True","10-4030-013264","13264","","89.4568"
"43721","2021-06-05","2021-06-12","True","10-4030-013590","13590","","89.4568"
"43722","2021-06-06","2021-06-13","True","10-4030-013581","13581","","89.4568"
"43723","2021-06-06","2021-06-13","True","10-4030-014520","14520","","17.4775"
"43724","2021-06-06","2021-06-13","True","10-4030-016520","16520","","89.4568"
"43725","2021-06-07","2021-06-14","True","10-4030-013258","13258","","89.4568"
"43726","2021-06-07","2021-06-14","True","10-4030-014560","14560","","17.4775"
"43727","2021-06-07","2021-06-14","True","10-4030-016607","16607","","89.4568"
"43728","2021-06-08","2021-06-15","True","10-4030-027666","27666","","89.4568"
"43729","2021-06-08","2021-06-15","True","10-4030-011238","11238","","84.9998"
"43730","2021-06-08","2021-06-15","True","10-4030-025861","25861","","84.9998"
"43731","2021-06-08","2021-06-15","True","10-4030-016629","16629","","89.4568"
"43732","2021-06-08","2021-06-15","True","10-4030-011025","11025","","84.3748"
